activity_vector,freezing_vector,animal_name,condition
0.568941583183113,0,astro3,cxta
0.5349063780684233,1,astro3,cxta
0.5548369145103116,1,astro3,cxta
0.5936032570475852,1,astro3,cxta
0.5953550311009531,1,astro3,cxta
0.5601667050782057,1,astro3,cxta
0.5857262947866312,1,astro3,cxta
0.6123275646753076,1,astro3,cxta
0.5800631923980646,1,astro3,cxta
0.5673007539023321,1,astro3,cxta
0.5647747602999665,1,astro3,cxta
0.5554047267622525,1,astro3,cxta
0.5697860341318063,1,astro3,cxta
0.5705217220216836,1,astro3,cxta
0.5587455905395923,1,astro3,cxta
0.5910303672241932,1,astro3,cxta
0.5865595973757088,1,astro3,cxta
0.577342516846198,1,astro3,cxta
0.5971740696120973,1,astro3,cxta
0.59519404310263,1,astro3,cxta
0.5975838776924854,1,astro3,cxta
0.5638969907483867,1,astro3,cxta
0.5569046121643297,1,astro3,cxta
0.5656403602930484,1,astro3,cxta
0.5798501224898394,1,astro3,cxta
0.5414962840336119,0,astro3,cxta
0.5729358298258865,0,astro3,cxta
0.5450493658941274,0,astro3,cxta
0.5136011059934169,0,astro3,cxta
0.5088288782307314,0,astro3,cxta
0.5285765831019893,0,astro3,cxta
0.5241338860197995,0,astro3,cxta
0.5188723648113547,0,astro3,cxta
0.5045436193123166,0,astro3,cxta
0.48841177756970794,0,astro3,cxta
0.5405633806268438,0,astro3,cxta
0.5250745457110252,0,astro3,cxta
0.5263704262448149,0,astro3,cxta
0.5108164631717818,0,astro3,cxta
0.48364416437572716,0,astro3,cxta
0.5196986576092958,0,astro3,cxta
0.5032339444524182,0,astro3,cxta
0.4961251812768639,0,astro3,cxta
0.49889803405630545,0,astro3,cxta
0.5283688869706262,0,astro3,cxta
0.5388129294257364,0,astro3,cxta
0.468438058400526,0,astro3,cxta
0.46556418622134943,0,astro3,cxta
0.501004658609799,0,astro3,cxta
0.49568642110246813,1,astro3,cxta
0.49677274308606584,1,astro3,cxta
0.47875759888572295,1,astro3,cxta
0.47919429902314603,1,astro3,cxta
0.5266862016442013,1,astro3,cxta
0.4832034024771505,1,astro3,cxta
0.49331891689310503,1,astro3,cxta
0.483749493624425,1,astro3,cxta
0.5084762449814756,1,astro3,cxta
0.4859318090032954,1,astro3,cxta
0.4890927121489575,1,astro3,cxta
0.5194408618506755,1,astro3,cxta
0.5019283386436639,1,astro3,cxta
0.5164445040639749,1,astro3,cxta
0.514745384043772,1,astro3,cxta
0.5111972394494477,1,astro3,cxta
0.5166950034312875,1,astro3,cxta
0.5202134271348863,1,astro3,cxta
0.5479381775885164,1,astro3,cxta
0.5331638955886238,1,astro3,cxta
0.5392847158780243,1,astro3,cxta
0.580648966012514,1,astro3,cxta
0.531739863602674,1,astro3,cxta
0.5392247361132663,1,astro3,cxta
0.5060473761315227,1,astro3,cxta
0.5168877004601106,0,astro3,cxta
0.5090460833873118,0,astro3,cxta
0.5209859715242711,0,astro3,cxta
0.5353327015354153,0,astro3,cxta
0.5341231966661663,0,astro3,cxta
0.5233189066078641,0,astro3,cxta
0.503534467300694,0,astro3,cxta
0.5312290873635158,0,astro3,cxta
0.5190507763371588,0,astro3,cxta
0.5078010308514685,0,astro3,cxta
0.4327670109810873,0,astro3,cxta
0.4967227113545056,0,astro3,cxta
0.5154082128509686,0,astro3,cxta
0.5606883384771352,0,astro3,cxta
0.5230786947768453,0,astro3,cxta
0.5302944228492977,0,astro3,cxta
0.47419206884138637,0,astro3,cxta
0.474943558072169,0,astro3,cxta
0.48666880466786855,0,astro3,cxta
0.4861272748202414,0,astro3,cxta
0.4909276303424801,0,astro3,cxta
0.4972262381878758,0,astro3,cxta
0.5114689585339341,0,astro3,cxta
0.5127767524177247,0,astro3,cxta
0.5263209656930841,0,astro3,cxta
0.5187407348064924,0,astro3,cxta
0.5242471701225294,0,astro3,cxta
0.5302370603874689,0,astro3,cxta
0.5538028609530352,0,astro3,cxta
0.5515337901466225,0,astro3,cxta
0.5375904385002672,0,astro3,cxta
0.5494667702719505,0,astro3,cxta
0.5705605180559643,0,astro3,cxta
0.5522227521706405,0,astro3,cxta
0.5417760636120503,0,astro3,cxta
0.5595429261901935,0,astro3,cxta
0.5354458764388063,0,astro3,cxta
0.5452243283408977,0,astro3,cxta
