"","pred_a1","pred_a0","pred_mu","pred_sigma","pred_mu_sigma","variance","mean_peak","mu_1","mu_2","mu_3","mu_4","mu_5","mu_6","mu_7","mu_8","CellID","animal"
"1151","0.1","0","2.7","1.9","0.3","0.565685424949238","2.5","2.9","2.1",NA,NA,NA,NA,NA,NA,"1151","M5."
"1152","0.2","0","1.8","1.6","0.5","0.424264068711929","1.7","1.4","2",NA,NA,NA,NA,NA,NA,"1152","M5."
"1153","0","0","2.3","0.6","0.1","0.141421356237309","2.3","2.4","2.2",NA,NA,NA,NA,NA,NA,"1153","M5."
"1154","0.1","0","14.5","0.7","10.9","2.47487373415292","3.25","1.5","5",NA,NA,NA,NA,NA,NA,"1154","M5."
"1155","0.1","0","19.3","8.5","0.3","0.848528137423857","19.1","19.7","18.5",NA,NA,NA,NA,NA,NA,"1155","M5."
"1156","0.1","0","6","2.4","3.4","3.88908729652601","6.15","8.9","3.4",NA,NA,NA,NA,NA,NA,"1156","M5."
"1157","0","0","0.4","0.7","0.1","0.424264068711929","0.6","0.9","0.3",NA,NA,NA,NA,NA,NA,"1157","M5."
"1158","0","0","0.9","0.5","0.8","0.777817459305202","0.65","0.1","1.2",NA,NA,NA,NA,NA,NA,"1158","M5."
"1159","0","0","4","0.6","3.2","3.39411254969543","3.8","6.2","1.4",NA,NA,NA,NA,NA,NA,"1159","M5."
"116","0","0","3.7","9.2","1","1.80831413200251","2","0.1","3.7","2.2",NA,NA,NA,NA,NA,"116","F5."
"1160","0.1","0","3.4","1.8","2","1.69705627484771","3.8","5","2.6",NA,NA,NA,NA,NA,NA,"1160","M5."
"1161","0.1","0","1.1","1","1.5","1.4142135623731","1.1","0.1","2.1",NA,NA,NA,NA,NA,NA,"1161","M5."
"1162","0.1","0","17.3","0.6","12.1","20.6475180106472","16.7","31.3","2.1",NA,NA,NA,NA,NA,NA,"1162","M5."
"1163","0.1","0","2.6","0.7","0.2","0.424264068711929","2.4","2.1","2.7",NA,NA,NA,NA,NA,NA,"1163","M5."
"1164","0.1","0","16.8","0.9","11","20.7182286887658","18.25","32.9","3.6",NA,NA,NA,NA,NA,NA,"1164","M5."
"1165","0.2","0","18.8","2.3","10.4","2.47487373415292","1.85","0.1","3.6",NA,NA,NA,NA,NA,NA,"1165","M5."
"1166","0.2","0","4.5","2.6","1","0.777817459305202","4.75","5.3","4.2",NA,NA,NA,NA,NA,NA,"1166","M5."
